"rowname";"fixed";"Moyenne";"Min";"Max";"< 1";"= 1";"> 1";"Error"
"Rég. par morceaux";"Sans rupture";1;1;1;0;14;0;"Dans l'échantillon"
"Rég. locale";"Sans rupture";0,979925050803908;0,902798515498329;0,99999051880973;5;9;0;"Dans l'échantillon"
"Mod. espace-état";"Sans rupture";0,914665696006404;0,585251905919851;1;10;4;0;"Dans l'échantillon"
"Rég. par morceaux";"Sans rupture";1;1;1;0;14;0;"Hors échantillon"
"Rég. locale";"Sans rupture";1,03951139941899;1,0000029144402;1,13316193201978;0;4;10;"Hors échantillon"
"Mod. espace-état";"Sans rupture";0,982168007928838;0,82443034185252;1,02357515057693;6;5;3;"Hors échantillon"
"Rég. par morceaux";"Avec rupture";0,917666898185567;0,81737681689398;1,03086091203238;11;0;3;"Dans l'échantillon"
"Rég. locale";"Avec rupture";0,914987779305818;0,792675633746024;0,995396015815964;13;1;0;"Dans l'échantillon"
"Mod. espace-état";"Avec rupture";0,898818313052093;0,709606331643005;0,979742497903524;14;0;0;"Dans l'échantillon"
"Rég. par morceaux";"Avec rupture";1,01158187899718;0,937338659714957;1,14410946078695;6;0;8;"Hors échantillon"
"Rég. locale";"Avec rupture";1,06924281941046;0,947487315433411;1,33069406908255;2;2;10;"Hors échantillon"
"Mod. espace-état";"Avec rupture";0,980212849256481;0,866609221844734;1,11014482028536;9;0;5;"Hors échantillon"
